# 1 galaxy
# 2 ra   
# 3 dec   
# 4 z   
# 5 r_e   
# 6 vout
# 7 wise_sfr
J1506+5402   226.65123962   54.03909907   0.608   0.13   -1211   621 
J0905+5759   136.3483394    57.98680093   0.712   0.10   -2470   344 
J1341-0321   205.40333219   -3.35701866   0.658   0.16   -875    490 
J0944+0930   146.07436936    9.50537816   0.514   0.15   -1778   161 
J2140+1209   325.00205248   12.15405848   0.752   0.23   -606    378 
J0826+4305   126.66007153   43.09150738   0.603   0.31   -1228   246 
J1613+2834   243.38552761   28.5707732    0.449   0.68   -2416   461 
J1219+0336   184.98241233    3.60441687   0.451   0.76   -1830   253 
J1107+0417   166.7619674     4.28410187   0.467   0.56   -1828   118 
J0901+0314   135.38927607    3.23679732   0.459   0.51   -1206    92 
J0106-1023   16.60105891   -10.39164878   0.455   0.59   -1527   122 
J2116-0634   319.10478966    -6.5791157   0.728   0.26   -1456    22 
J1558+3957   239.54682546   39.95578122   0.402   0.66   -829     89 
J2118+0017   319.60025872    0.29149953   0.459   1.51       0   368 
J1635+4709   248.92380202   47.15678808   0.700   1.29       0   123 
J1359+5137   209.83743449   51.62748509   0.413   0.34       0     8 
J1125-0145   171.32874589   -1.75900815   0.519   0.60   -2011    15 
J1450+4621   222.62020482   46.36048909   0.782   0.54   -1593     8 
J1039+4537   159.77903421   45.63165696   0.634   0.55   -1313     8 
J2256+1504   344.0990057    15.07354666   0.727   0.76   -800      8 
J1506+6131   226.51539189   61.53003498   0.437   0.83       0     8 
J0908+1039   137.17818041   10.65021868   0.502   1.24       0     8 
J0827+2954   126.89114553    29.9142367   0.681   1.36       0     8 
J1634+4619   248.69366588   46.32967857   0.576   1.79       0    11 
J1232+0723   188.06594691    7.38909212   0.400   2.20   -491     15 
J1104+5946   166.15609592   59.77767736   0.573   0.20   -1354     0 
J1229+3545   187.45763187   35.75475434   0.614   0.95   -669      0 
J1248+0601   192.02982804    6.01995682   0.632   0.78   -477      0 
J1713+2817   258.25160602   28.28563074   0.577   0.74   -868      0 
